slide_id,fp_position,file_name
190,2,lockmass_050525_slide_180_190_Slide_B_2.txt
190,3,lockmass_050525_slide_180_190_Slide_B_3.txt
190,4,lockmass_050525_slide_180_190_Slide_B_4.txt
179,1,lockmass_050525_slide_179_189_Slide_A_1.txt
179,3,lockmass_050525_slide_179_189_Slide_A_3.txt
179,4,lockmass_050525_slide_179_189_Slide_A_4.txt
179,5,lockmass_050525_slide_179_189_Slide_A_5.txt
179,6,lockmass_050525_slide_179_189_Slide_A_6.txt
179,7,lockmass_050525_slide_179_189_Slide_A_7.txt
189,1,lockmass_050525_slide_179_189_Slide_B_1.txt
189,3,lockmass_050525_slide_179_189_Slide_B_3.txt
189,4,lockmass_050525_slide_179_189_Slide_B_4.txt
189,6,lockmass_050525_slide_179_189_Slide_B_6.txt
189,7,lockmass_050525_slide_179_189_Slide_B_7.txt
178,1,lockmass_050525_slide_178_188_Slide_A_1.txt
178,2,lockmass_050525_slide_178_188_Slide_A_2.txt
178,3,lockmass_050525_slide_178_188_Slide_A_3.txt
178,5,lockmass_050525_slide_178_188_Slide_A_5.txt
178,8,lockmass_050525_slide_178_188_Slide_A_8.txt
188,1,lockmass_050525_slide_178_188_Slide_B_1.txt
188,2,lockmass_050525_slide_178_188_Slide_B_2.txt
188,4,lockmass_050525_slide_178_188_Slide_B_4.txt
188,5,lockmass_050525_slide_178_188_Slide_B_5.txt
188,8,lockmass_050525_slide_178_188_Slide_B_8.txt
177,1,lockmass_050525_slide_177_187_Slide_A_1.txt
177,2,lockmass_050525_slide_177_187_Slide_A_2.txt
177,3,lockmass_050525_slide_177_187_Slide_A_3.txt
177,4,lockmass_050525_slide_177_187_Slide_A_4.txt
177,5,lockmass_050525_slide_177_187_Slide_A_5.txt
177,6,lockmass_050525_slide_177_187_Slide_A_6.txt
177,7,lockmass_050525_slide_177_187_Slide_A_7.txt
177,8,lockmass_050525_slide_177_187_Slide_A_8.txt
187,1,lockmass_050525_slide_177_187_Slide_B_1.txt
187,2,lockmass_050525_slide_177_187_Slide_B_2.txt
187,3,lockmass_050525_slide_177_187_Slide_B_3.txt
187,5,lockmass_050525_slide_177_187_Slide_B_5.txt
187,8,lockmass_050525_slide_177_187_Slide_B_8.txt
176,1,lockmass_050525_slide_176_186_N2_Slide_A_1.txt
176,2,lockmass_050525_slide_176_186_N2_Slide_A_2.txt
176,3,lockmass_050525_slide_176_186_N2_Slide_A_3.txt
